id,name,price,description
1,Fluvoxamine Maleate,1334.59,Fluvoxamine Maleate
2,Tartar Control,1745.82,Eucalyptol
3,ARC 42 Essential First Aid Items,1117.35,ISOPROPYL ALCOHOL
4,CYPROHEPTADINE HYDROCHLORIDE,4961.85,CYPROHEPTADINE HYDROCHLORIDE
5,care one pain relief,3405.63,Acetaminophen
6,nasal decongestant pe,4692.07,Phenylephrine Hydrochloride
7,Peter Island Sunscreen,4274.12,OCTOCRYLENE OXYBENZONE ZINC OXIDE
8,Isosorbide,3926.11,Isosorbide Dinitrate
9,Diazepam,1845.83,Diazepam
10,Cetirizine Hydrochloride,1476.86,Cetirizine Hydrochloride
